,game_id,competition_id,competition_type,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,aggregate,home_club_position,away_club_position,club_home_pretty_name,club_away_pretty_name,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url_x,pretty_name,type,sub_type,country_id,country_name,country_latitude,country_longitude,domestic_league_code,name,confederation,url_y,liga_new_id,month_year,match_name,match_name_df,homeTeamID,awayTeamID,home_name
402,2594827,ES1,domestic_league,2015,36. Matchday,2016-04-30,16795,472,3,2,3:2,16,10,Granada,Las Palmas,José González,Quique Setién,Nuevo Los Cármenes,21291,González González,https://www.transfermarkt.co.uk/granada-cf_ud-las-palmas/index/spielbericht/2594827,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-04,Granada vs Las Palmas,Atletico Madrid vs Rayo Vallecano,143.0,145.0,Atletico Madrid
412,2594814,ES1,domestic_league,2015,35. Matchday,2016-04-23,1533,897,1,1,1:1,12,14,Sd Eibar,Deportivo La Coruna,José Luis Mendilibar,Víctor Sánchez,Ipurua,4606,Eduardo Prieto Iglesias,https://www.transfermarkt.co.uk/sd-eibar_deportivo-de-la-coruna/index/spielbericht/2594814,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-04,Sd Eibar vs Deportivo La Coruna,,,,
418,2594801,ES1,domestic_league,2015,34. Matchday,2016-04-20,418,1050,3,0,3:0,3,4,Real Madrid,Fc Villarreal,Zinédine Zidane,Marcelino,Santiago Bernabéu,62085,Carlos Clos Gómez,https://www.transfermarkt.co.uk/real-madrid_villarreal-cf/index/spielbericht/2594801,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-04,Real Madrid vs Fc Villarreal,Valencia vs Eibar,146.0,156.0,Valencia
429,2594797,ES1,domestic_league,2015,33. Matchday,2016-04-16,940,150,1,1,1:1,6,14,Celta Vigo,Real Betis Sevilla,Eduardo Berizzo,Juan Merino,Abanca Balaídos,14934,De Burgos Bengoetxea,https://www.transfermarkt.co.uk/celta-de-vigo_real-betis-balompie/index/spielbericht/2594797,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-04,Celta Vigo vs Real Betis Sevilla,Getafe vs Real Madrid,142.0,150.0,Getafe
448,2594776,ES1,domestic_league,2015,31. Matchday,2016-04-02,940,897,1,1,1:1,5,11,Celta Vigo,Deportivo La Coruna,Eduardo Berizzo,Víctor Sánchez,Abanca Balaídos,21253,David Fernández Borbalán,https://www.transfermarkt.co.uk/celta-de-vigo_deportivo-de-la-coruna/index/spielbericht/2594776,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-04,Celta Vigo vs Deportivo La Coruna,Las Palmas vs Valencia,144.0,146.0,Las Palmas
458,2594768,ES1,domestic_league,2015,30. Matchday,2016-03-19,150,1084,0,1,0:1,14,8,Real Betis Sevilla,Fc Malaga,Juan Merino,Javi Gracia,Benito Villamarín,31371,Carlos Clos Gómez,https://www.transfermarkt.co.uk/real-betis-balompie_malaga-cf/index/spielbericht/2594768,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-03,Real Betis Sevilla vs Fc Malaga,,,,
459,2594787,ES1,domestic_league,2015,32. Matchday,2016-04-09,150,3368,1,0,1:0,14,20,Real Betis Sevilla,Ud Levante,Juan Merino,Rubi,Benito Villamarín,37091,Eduardo Prieto Iglesias,https://www.transfermarkt.co.uk/real-betis-balompie_levante-ud/index/spielbericht/2594787,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-04,Real Betis Sevilla vs Ud Levante,Real Madrid vs Eibar,150.0,156.0,Real Madrid
470,2594751,ES1,domestic_league,2015,29. Matchday,2016-03-12,367,1533,1,1,1:1,16,8,Rayo Vallecano,Sd Eibar,Paco Jémez,José Luis Mendilibar,Campo de Fútbol de Vallecas,10399,Álvarez Izquierdo,https://www.transfermarkt.co.uk/rayo-vallecano_sd-eibar/index/spielbericht/2594751,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-03,Rayo Vallecano vs Sd Eibar,,,,
484,2594747,ES1,domestic_league,2015,28. Matchday,2016-03-05,897,1084,3,3,3:3,13,12,Deportivo La Coruna,Fc Malaga,Víctor Sánchez,Javi Gracia,Abanca Riazor,18446,Carlos Velasco Carballo,https://www.transfermarkt.co.uk/deportivo-de-la-coruna_malaga-cf/index/spielbericht/2594747,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-03,Deportivo La Coruna vs Fc Malaga,Getafe vs Sevilla,142.0,138.0,Getafe
491,2594733,ES1,domestic_league,2015,27. Matchday,2016-03-01,472,3709,4,0,4:0,15,16,Las Palmas,Fc Getafe,Quique Setién,Fran Escribá,Estadio de Gran Canaria,15819,Mario Melero López,https://www.transfermarkt.co.uk/ud-las-palmas_getafe-cf/index/spielbericht/2594733,Laliga,domestic_league,first_tier,157,Spain,39.3260685,-4.8379791,ES1,laliga,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1,4,2016-03,Las Palmas vs Fc Getafe,,,,
